Email,Name,Address of Correspondence,Mobile,PhD Stream,PhD Area Preference 1,PhD Area Preference 2,PhD Area Preference 3,Gender,Category,Physically Disabled,DOB,Children/War Widows of Defence Personnel killed/Disabled in Action,Father's Name,Nationality,Permanent Address,Pin Code,Xth Board,Xth Marks (%),Year of Passing Xth,XIIth Board,XIIth Marks (%),Year of Passing XIIth,Graduation Degree,Graduation Department,Graduation College,Graduation University,Graduation City,Graduation State,Year of Graduation,Grad CGPA or Marks,Applying for ECE PhD,ECE PhD Subject Preference 1,ECE PhD Subject Preference 2,ECE PhD Subject Preference 3,ECE PhD Subject Preference 4,Completed Post Grad,Post Grad Degree,Post Grad Department,Post Grad College,Post Grad Thesis,Post Grad City,Post Grad State,Year of Post Grad,Post Grad CGPA or Marks,Other Academic Degrees,Exam Name,Subject,Year,Score,Rank,Taken GATE Exam,GATE Area,Year of Graduation,Marks(%),Score,Rank,Achievements,Timestamp,EnrollmentNo
angelikadingle@iiitd.ac.in,Angelika Dingle,"9 Field Rd, Denham, Uxbridge, Buckinghamshire UB9 4HJ, India",9999024521,Electronics and Communication,Compilers,Distributed Systems,Embedded System,Male,SC,No,31-05-89,No,Jewel Dingle,Indian,"9 Field Rd, Denham, Uxbridge, Buckinghamshire UB9 4HJ, UK",925838,CBSE,71,2005,CBSE,82,2007,B.Tech,Electronics and Communication,Bengal Engineering & Science University (BESU),Bengal Engineering & Science University (BESU),Shibput,West Bengal,2011,CGPA:8.4,Yes,Compilers,Distributed Systems,Embedded System,,Yes,M.Tech,Electronics and Communication,Bengal Engineering & Science University (BESU),Random Title,Shibput,West Bengal,2013,Marks:82,,,,,,,No,,2011,75,787,5959,Prime Minister's Scholarship,2015-Jun-11 10:09:37,PHD1010
miyokoscheffel@iiitd.ac.in,Miyoko Scheffel,"4 Darling Ave, Lurgan, Craigavon, Craigavon BT66 8EZ, India",9599775300,Computational Biology,Molecular Mechanics,Data Processing,Molecular Biology,Male,General,No,19-09-89,No,Anibal Scheffel,Indian,"4 Darling Ave, Lurgan, Craigavon, Craigavon BT66 8EZ, UK",615463,ICSE,72,2005,ICSE,95,2007,B.Tech,Information Technology,BIT,BIT,Mesra,Jharkhand,2011,Marks:74,No,Molecular Mechanics,Data Processing,Molecular Biology,,Yes,M.Tech,Information Technology,BIT,Random Title,Mesra,Jharkhand,2013,Marks:85,,,,,,,No,,2011,94,987,505,,2015-Apr-27 00:52:43,PHD1011
santopotts@iiitd.ac.in,Santo Potts,"24 Belmont St, Newtyle, Blairgowrie, Angus PH12 8UE, India",8939033524,Computer Science,Information Security,,,Male,ST,No,03-06-90,No,Rosario Potts,Indian,"24 Belmont St, Newtyle, Blairgowrie, Angus PH12 8UE, UK",273882,ICSE,74,2006,ICSE,96,2008,B.Tech,Information Technology,IIT-Mumbai,IIT,Mumbai,Maharashtra,2012,Marks:70,No,Information Security,Mobile Computing,Data Analytics,,Yes,M.Tech,Information Technology,IIT-Mumbai,Random Title,Mumbai,Maharashtra,2014,Marks:86,,,,,,,No,,2012,71,745,7373,,2015-Jul-11 15:01:21,PHD1012
jenisestirling@iiitd.ac.in,Jenise Stirling,"7 Oak Tree Ave, Edwinstowe, Mansfield, Nottinghamshire NG21 9NF, India",9597767749,Electronics and Communication,VLSI,Embedded Systems,Embedded System,Female,General,No,24-07-90,No,Lyman Stirling,Pakistani,"7 Oak Tree Ave, Edwinstowe, Mansfield, Nottinghamshire NG21 9NF, UK",160748,ICSE,90,2006,ICSE,76,2008,B.Tech,Electronics and Communication,NIT-Surathkal,NIT,Surathkal,Karnataka,2012,Marks:81,Yes,VLSI,Embedded Systems,Embedded System,,Yes,M.Tech,Electronics and Communication,NIT-Surathkal,Random Title,Surathkal,Karnataka,2014,Marks:76,,,,,,,No,,2012,95,997,101,,2015-Mar-15 00:54:08,PHD1013
dixiecollom@iiitd.ac.in,Dixie Collom,"53 Lakeside, Rainham, Greater London RM13 9SN, India",9650826230,Computational Biology,Image Processing,,,Male,General,No,06-01-91,No,Granville Collom,Indian,"53 Lakeside, Rainham, Greater London RM13 9SN, UK",829020,State Board,71,2007,State Board,83,2009,B.Tech,Computer Science,NIT-Warangal,NIT,Warangal,Andhra Pradesh,2013,Marks:74,No,Image Processing,BioSimulations,Mathematical Biology,,Yes,M.Tech,Computer Science,NIT-Warangal,Random Title,Warangal,Andhra Pradesh,2015,Marks:83,,,,,,,Yes,Computer Science And IT,2013,70,735,7474,,2015-May-15 08:58:34,PHD1014
venachacon@iiitd.ac.in,Vena Chacon,"1 Old Station Pl, Ballater, Aberdeenshire AB35 5RG, India",7415173953,Computer Science,Mobile Computing,,,Female,OBC,No,11-05-91,No,Donnie Chacon,Indian,"1 Old Station Pl, Ballater, Aberdeenshire AB35 5RG, UK",757432,ICSE,75,2007,ICSE,97,2009,B.Tech,Computer Science,Harcourt Butler Technological Institute,UPTU,Kanpur,Uttar Pradesh,2013,Marks:84,No,Mobile Computing,Network Security,Image Analysis,,Yes,M.Tech,Computer Science,Harcourt Butler Technological Institute,Random Title,Kanpur,Uttar Pradesh,2015,Marks:97,,,,,,,No,,2013,90,945,1414,,2015-Apr-13 03:20:58,PHD1015
valerihaug@iiitd.ac.in,Valeri Haug,"23 Ward Cl, Great Sankey, Warrington, Warrington WA5 8XY, India",7506939626,Electronics and Communication,Compilers,Embedded Systems,,Male,General,No,24-08-91,No,Domenic Haug,Indian,"23 Ward Cl, Great Sankey, Warrington, Warrington WA5 8XY, UK",674573,CBSE,76,2007,CBSE,92,2009,B.Tech,Electronics and Communication,Netaji Subhas Institute of Technology,Delhi University,New Delhi,Delhi,2013,Marks:84,Yes,Compilers,Embedded Systems,VLSI,,Yes,M.Tech,Electronics and Communication,Netaji Subhas Institute of Technology,Random Title,New Delhi,Delhi,2015,Marks:81,,,,,,,Yes,Electronics and Communication,2013,73,766,6262,,2015-Mar-15 22:51:20,PHD1016
irascally@iiitd.ac.in,Ira Scally,"2 Grinnavat Rd, Shawbost, Isle of Lewis, Na h-Eileanan an Iar HS2 9BL, India",9026662707,Computational Biology,BioSimulations,Mathematical Biology,,Male,General,No,19-10-91,No,Carrol Scally,Nepalese,"2 Grinnavat Rd, Shawbost, Isle of Lewis, Na h-Eileanan an Iar HS2 9BL, UK",868573,State Board,87,2007,State Board,76,2009,B.Tech,Computer Science,IIT-Delhi,IIT,New Delhi,Delhi,2013,Marks:75,No,BioSimulations,Mathematical Biology,Cell Biology,,Yes,M.Tech,Computer Science,IIT-Delhi,Random Title,New Delhi,Delhi,2015,Marks:76,,,,,,,No,,2013,76,798,5353,,2015-Jun-26 19:24:28,PHD1017
bonitaspurrier@iiitd.ac.in,Bonita Spurrier,"12 Oaktree Ave, Derby, Derby DE24 8ES, India",8425023390,Computer Science,Information Security,Data Processing,Mobile Computing,Male,General,No,28-03-91,Yes,Vincent Spurrier,Indian,"12 Oaktree Ave, Derby, Derby DE24 8ES, UK",486808,State Board,86,2007,State Board,79,2009,B.Tech,Computer Science,IIIT-Hyderabad,IIIT-Hyderabad,Hyderabad,Andhra Pradesh,2013,Marks:86,No,Information Security,Data Processing,Mobile Computing,Image Analyis,No,,,,,,,,,,,,,,,No,,2013,75,787,5454,,2015-Sep-26 10:18:56,PHD1018
zitasemien@iiitd.ac.in,Zita Semien,"102 High St, Bidford-on-Avon, Alcester, Warwickshire B50 4AF, India",9654003030,Electronics and Communication,VLSI,Distributed Systems,Embedded System,Male,SC,No,28-09-91,No,Gus Semien,Indian,"102 High St, Bidford-on-Avon, Alcester, Warwickshire B50 4AF, UK",195174,CBSE,77,2007,CBSE,89,2009,B.Tech,Electronics and Communication,Delhi Technological University,Delhi Technological University,New Delhi,Delhi,2013,Marks:86,Yes,VLSI,Distributed Systems,Embedded System,,Yes,M.Tech,Electronics and Communication,Delhi Technological University,Random Title,New Delhi,Delhi,2015,Marks:89,,,,,,,Yes,Electronics and Communication,2013,78,819,4646,,2015-Jun-09 05:19:52,PHD1019
vernelltenner@iiitd.ac.in,Vernell Tenner,"31A Camberwell Station Rd, Camberwell, London SE5 9JJ, India",9951354542,Computational Biology,Image Processing,Data Processing,Molecular Biology,Female,General,No,24-01-91,No,Sid Tenner,Indian,"31A Camberwell Station Rd, Camberwell, London SE5 9JJ, UK",383488,ICSE,78,2007,ICSE,74,2009,B.Tech,Information Technology,IT - BHU,IT - BHU,Varanasi,Uttar Pradesh,2013,Marks:82,No,Image Processing,Data Processing,Molecular Biology,,Yes,M.Tech,Information Technology,IT - BHU,Random Title,Varanasi,Uttar Pradesh,2015,Marks:74,,,,,,,Yes,Computer Science And IT,2013,77,808,4646,,2015-Apr-26 12:33:21,PHD1020
ramonitapeebles@iiitd.ac.in,Ramonita Peebles,"Broadhead Rd, Bolton, Blackburn with Darwen BL7, India",9911022043,Computer Science,Mobile Computing,,,Male,ST,No,01-08-91,No,Angel Peebles,Indian,"Broadhead Rd, Bolton, Blackburn with Darwen BL7, UK",195634,ICSE,92,2007,ICSE,88,2009,B.Tech,Computer Science,VJTI,VJTI,Mumbai,Maharashtra,2013,Marks:85,No,Mobile Computing,Data Processing,Wireless Network,,Yes,M.Tech,Computer Science,VJTI,Random Title,Mumbai,Maharashtra,2015,Marks:88,,,,,,,Yes,Computer Science And IT,2013,85,892,2828,,2015-Jan-19 07:23:34,PHD1021
juniesaffold@iiitd.ac.in,Junie Saffold,"3 Savoy Parade, Enfield, Greater London EN1 1RT, India",9823807309,Electronics and Communication,Compilers,VLSI,Embedded System,Female,General,No,09-02-91,No,Virgil Saffold,Indian,"3 Savoy Parade, Enfield, Greater London EN1 1RT, UK",560346,ICSE,85,2007,ICSE,77,2009,B.Tech,Electronics and Communication,Motilal Nehru National Institute of Technology,Motilal Nehru National Institute of Technology,Allahabad,Uttar Pradesh,2013,Marks:86,Yes,Compilers,VLSI,Embedded System,,Yes,M.Tech,Electronics and Communication,Motilal Nehru National Institute of Technology,Random Title,Allahabad,Uttar Pradesh,2015,Marks:77,,,,,,,Yes,Electronics and Communication,2013,96,989,303,Thesis work accepted in International Academic & Research Conference India 2014 ,2015-Jun-26 00:58:27,PHD1022
erynnapoli@iiitd.ac.in,Eryn Napoli,"42 Lyndhurst Rd, Bexleyheath, Greater London DA7 6DF, India",9421463053,Computational Biology,Molecular Mechanics,,,Male,General,Yes,20-03-91,No,Monty Napoli,Indian,"42 Lyndhurst Rd, Bexleyheath, Greater London DA7 6DF, UK",334922,CBSE,84,2007,CBSE,75,2009,B.Tech,Computer Science,MANIT,MANIT,Bhopal,Madhya Pradesh,2013,Marks:76,No,Molecular Mechanics,BioSimulations,Cell Biology,,Yes,M.Tech,Computer Science,MANIT,Random Title,Bhopal,Madhya Pradesh,2015,Marks:75,,,,,,,Yes,Computer Science And IT,2013,70,735,6565,,2015-Mar-08 01:05:16,PHD1023
trudiewnuk@iiitd.ac.in,Trudie Wnuk,"7A Parklands, Nanpean, Saint Austell, Cornwall PL26 7YR, India",9938529679,Computer Science,Information Security,,,Male,OBC,No,04-12-91,No,Norberto Wnuk,Indian,"7A Parklands, Nanpean, Saint Austell, Cornwall PL26 7YR, UK",799849,CBSE,77,2007,CBSE,87,2009,B.Tech,Computer Science,IIT-Kharagpur,IIT,Kharagpur,West Bengal,2013,Marks:83,No,Information Security,Mobile Computing,Image Analysis,,Yes,M.Tech,Computer Science,IIT-Kharagpur,Random Title,Kharagpur,West Bengal,2015,Marks:87,,,,,,,No,,2013,84,882,2727,,2015-Mar-25 09:20:55,PHD1024
thomasinaalcantara@iiitd.ac.in,Thomasina Alcantara,"4 Mains Rd, Ballantrae, Girvan, South Ayrshire KA26 0NJ, India",9975933393,Electronics and Communication,VLSI,Embedded Systems,,Male,General,No,22-01-86,No,Hayden Alcantara,Indian,"4 Mains Rd, Ballantrae, Girvan, South Ayrshire KA26 0NJ, UK",439317,CBSE,86,2002,CBSE,72,2004,B.Tech,Electronics and Communication,College of Engineering,Savitribai Phule Pune University ,Pune,Maharashtra,2008,Marks:97,Yes,VLSI,Embedded Systems,Compilers,,Yes,M.Tech,Electronics and Communication,College of Engineering,Random Title,Pune,Maharashtra,2010,Marks:72,,,,,,,No,,2008,77,808,4343,,2015-Jan-14 17:41:07,PHD1025
delaineformica@iiitd.ac.in,Delaine Formica,"11 Portpool Ln, London EC1N, India",7879417879,Computational Biology,Image Processing,Mathematical Biology,,Male,General,No,04-07-86,No,Jaime Formica,Indian,"11 Portpool Ln, London EC1N, UK",649784,ICSE,79,2002,ICSE,77,2004,B.Tech,Computer Science,PSG College of Technology,Anna University,Coimbatore,Tamil Nadu,2008,Marks:81,No,Image Processing,Mathematical Biology,Cell Biology,,Yes,M.Tech,Computer Science,PSG College of Technology,Random Title,Coimbatore,Tamil Nadu,2010,Marks:77,,,,,,,No,,2008,73,766,5353,,2015-Jan-24 15:50:04,PHD1026
eloissigala@iiitd.ac.in,Elois Sigala,"1 Williams Cl, Penyffordd, Chester, Flintshire CH4 0NG, India",9540474455,Computer Science,Mobile Computing,Data Processing,Mobile Computing,Female,General,No,06-08-86,No,Bobby Sigala,Indian,"1 Williams Cl, Penyffordd, Chester, Flintshire CH4 0NG, UK",905948,CBSE,70,2002,CBSE,91,2004,B.Tech,Information Technology,Bengal Engineering & Science University (BESU),Bengal Engineering & Science University (BESU),Shibput,West Bengal,2008,Marks:76,No,Mobile Computing,Data Processing,Network Security,Image Analyis,No,,,,,,,,,,,,,,,No,,2008,93,976,505,,2015-Jun-14 10:37:53,PHD1027
kandisbaron@iiitd.ac.in,Kandis Baron,"33 Campion Cres, Cranbrook, Kent TN17 3QJ, India",9312237451,Electronics and Communication,Compilers,Distributed Systems,Embedded System,Male,SC,No,19-10-86,No,Patricia Baron,Indian,"33 Campion Cres, Cranbrook, Kent TN17 3QJ, UK",557349,CBSE,84,2002,CBSE,70,2004,B.Tech,Electronics and Communication,BIT,BIT,Mesra,Jharkhand,2008,Marks:79,Yes,Compilers,Distributed Systems,Embedded System,,Yes,M.Tech,Electronics and Communication,BIT,Random Title,Mesra,Jharkhand,2010,Marks:70,,,,,,,No,,2008,79,829,3737,,2015-Sep-14 18:11:00,PHD1028
celinavalentino@iiitd.ac.in,Celina Valentino,"6 Bank St, Greenlaw, Duns, Scottish Borders TD10 6XX, India",8652494041,Computational Biology,BioSimulations,Data Processing,Molecular Biology,Female,General,No,03-07-88,No,Kenny Valentino,Indian,"6 Bank St, Greenlaw, Duns, Scottish Borders TD10 6XX, UK",803458,CBSE,90,2004,CBSE,74,2006,B.Tech,Computer Science,IIT-Mumbai,IIT,Mumbai,Maharashtra,2010,Marks:89,No,BioSimulations,Data Processing,Molecular Biology,,Yes,M.Tech,Computer Science,IIT-Mumbai,Random Title,Mumbai,Maharashtra,2012,Marks:74,,,,,,,No,,2010,79,829,3737,,2015-Aug-08 14:52:41,PHD1029
clarencemclaughin@iiitd.ac.in,Clarence Mclaughin,"Sunderland Hwy, Sunderland, Tyne and Wear SR5, India",9999024521,Computer Science,Information Security,,,Male,ST,No,24-01-89,No,Glenn Mclaughin,Saudi,"Sunderland Hwy, Sunderland, Tyne and Wear SR5, UK",804736,ICSE,87,2005,ICSE,92,2007,B.Tech,Computer Science,NIT-Surathkal,NIT,Surathkal,Karnataka,2011,Marks:74,No,Information Security,Data Processing,Image Analysis,,Yes,M.Tech,Computer Science,NIT-Surathkal,Random Title,Surathkal,Karnataka,2013,CGPA:9.0,,,,,,,No,,2011,77,808,5252,,2015-Jan-04 05:48:25,PHD1030
muirozek@iiitd.ac.in,Mui Rozek,"3 Country Park View, Bignall End, Stoke-on-Trent, Staffordshire ST7 8NZ, India",9599775300,Electronics and Communication,VLSI,Embedded Systems,Embedded System,Male,General,No,26-07-89,No,Ian Rozek,Indian,"3 Country Park View, Bignall End, Stoke-on-Trent, Staffordshire ST7 8NZ, UK",402604,CBSE,85,2005,CBSE,79,2007,B.Tech,Electronics and Communication,NIT-Warangal,NIT,Warangal,Andhra Pradesh,2011,Marks:88,Yes,VLSI,Embedded Systems,Embedded System,,Yes,M.Tech,Electronics and Communication,NIT-Warangal,Random Title,Warangal,Andhra Pradesh,2013,Marks:75,,,,,,,No,,2011,87,913,2323,,2015-Jul-04 16:42:27,PHD1031
lesafomby@iiitd.ac.in,Lesa Fomby,"22 Southwold Pl, Cramlington, Northumberland NE23 8HE, India",8939033524,Computational Biology,Image Processing,,,Male,General,No,17-02-90,No,Eddy Fomby,Indian,"22 Southwold Pl, Cramlington, Northumberland NE23 8HE, UK",439246,State Board,80,2006,State Board,79,2008,B.Tech,Computer Science,Harcourt Butler Technological Institute,UPTU,Kanpur,Uttar Pradesh,2012,Marks:77,No,Image Processing,BioSimulations,Mathematical Biology,,Yes,M.Tech,Computer Science,Harcourt Butler Technological Institute,Random Title,Kanpur,Uttar Pradesh,2014,CGPA:8.4,,,,,,,No,,2012,92,966,1111,,2015-Sep-11 06:05:46,PHD1032
edgardobeecher@iiitd.ac.in,Edgardo Beecher,"14 Ardarroch Ct, Aberdeen, Aberdeen City AB24 5QZ, India",9597767749,Computer Science,Mobile Computing,,,Male,OBC,No,22-03-90,Yes,Steven Beecher,French,"14 Ardarroch Ct, Aberdeen, Aberdeen City AB24 5QZ, UK",165165,CBSE,86,2006,CBSE,91,2008,B.Tech,Computer Science,Netaji Subhas Institute of Technology,Delhi University,New Delhi,Delhi,2012,Marks:75,No,Mobile Computing,Network Security,Wireless Network,,Yes,M.Tech,Computer Science,Netaji Subhas Institute of Technology,Random Title,New Delhi,Delhi,2014,CGPA:7.8,,,,,,,Yes,Computer Science And IT,2012,75,787,5757,,2015-May-15 06:29:42,PHD1033
freddymikels@iiitd.ac.in,Freddy Mikels,"37-41 Eastwoodbury Cres, Southend-on-Sea, Southend-on-Sea SS2 6XG, India",9650826230,Electronics and Communication,Compilers,Embedded Systems,,Female,General,No,28-03-90,No,Thanh Mikels,Indian,"37-41 Eastwoodbury Cres, Southend-on-Sea, Southend-on-Sea SS2 6XG, UK",740517,ICSE,83,2006,ICSE,94,2008,B.Tech,Electronics and Communication,IIT-Delhi,IIT,New Delhi,Delhi,2012,Marks:87,Yes,Compilers,Embedded Systems,VLSI,,Yes,M.Tech,Electronics and Communication,IIT-Delhi,Random Title,New Delhi,Delhi,2014,CGPA:7.2,,,,,,,No,,2012,71,745,7373,,2015-Jul-12 22:14:25,PHD1034
quintonuhrich@iiitd.ac.in,Quinton Uhrich,"2 Court Ln, Hadlow, Tonbridge, Kent TN11 0DP, India",7415173953,Computational Biology,Molecular Mechanics,Mathematical Biology,,Male,General,No,17-01-91,No,Isaias Uhrich,Indian,"2 Court Ln, Hadlow, Tonbridge, Kent TN11 0DP, UK",614033,ICSE,72,2007,ICSE,70,2009,B.Tech,Computer Science,IIIT-Hyderabad,IIIT-Hyderabad,Hyderabad,Andhra Pradesh,2013,Marks:72,No,Molecular Mechanics,Mathematical Biology,BioSimulations,,Yes,M.Tech,Computer Science,IIIT-Hyderabad,Random Title,Hyderabad,Andhra Pradesh,2015,Marks:72,,,,,,,Yes,Computer Science And IT,2013,72,756,6969,,2015-Sep-06 14:20:03,PHD1035
monserrateyou@iiitd.ac.in,Monserrate You,"37-41 Anne Rd, Smethwick, West Midlands B66 2NZ, India",7506939626,Computer Science,Information Security,Data Processing,Mobile Computing,Female,General,No,28-05-91,No,Brent You,Indian,"37-41 Anne Rd, Smethwick, West Midlands B66 2NZ, UK",301660,ICSE,73,2007,ICSE,74,2009,B.Tech,Information Technology,Delhi Technological University,Delhi Technological University,New Delhi,Delhi,2013,Marks:77,No,Information Security,Data Processing,Mobile Computing,,Yes,M.Tech,Information Technology,Delhi Technological University,Random Title,New Delhi,Delhi,2015,Marks:80,,,,,,,No,,2013,84,882,2929,,2015-Jan-09 07:36:03,PHD1036
